,수주량,평균온도,일강수량,상대습도,최심적설,기준금리,착공지수,출하량,예상중량,AE,ARE-580FX,CSA4000,CSA5000,PEMA-500FR,PEMA-580FX,PEMA-CR1000,PEMA-CSA5000,PEMA-HR1000,PEMA-HR1000S,PEMA-HR1500,PEMA-PCM2000,PEMA-PCM2000B,PEMA-PCR3000E,PEMA-PCR3000N,PEMA-PR1000,PEMA-PR2000,PEMA-SN400,PEMA-SP1000,PEMA-SPR,PEMA-SR2000,PEMA-SR2000A,PEMA-SR3000F,PEMA-SR5000F,PR1000,SRE-110,SRE-200
2022-01-11,261667.7504272461,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,147591.40567105782,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,98651.45724487305,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,98599.56133560905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,32454.40203857422,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,18170.07398170942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-01-11,15250.852630615234,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,6828.779910374704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-11,4240.029541015625,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,7014.141212954571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,84973.21444702148,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,26581.05017906041,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,6362.626556396484,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,19230.810119628906,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,1062.9491271972656,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,6869.960407388424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,1768.007254162193,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,74725.2631225586,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,22566.18236164337,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,6299.661376953125,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,4396.069250443947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-01-11,531.9788818359375,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,4491.077865610365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-01-11,8595.235809326172,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,14488.489959554332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,6873.038787841797,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,11244.869429500348,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,9326.692779541016,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,6879.134361970869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,1608.0776888116998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,3457.93603515625,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,11318.62685302715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,149.1838942145792,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,165.99152602970622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,1020.7371719308688,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,411546.62384033203,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,356635.86682380224,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,88775.56701660156,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,80525.81873924805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,32170.67071533203,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,13733.194827962769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-01-18,33796.2092590332,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,29160.60886585541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-18,6584.4117431640625,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,6313.5664410553445,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,124186.34066772461,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,78295.58168250677,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,32448.814208984375,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,33052.38559091811,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,74679.18753051758,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,74795.66538964887,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,14261.308959960938,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,21600.136158567333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,1622.8221154904847,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,156034.90521240234,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,134127.9750807138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,13232.818756103516,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,10219.208378420512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-01-18,11248.35726928711,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,15692.700505768367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-01-18,15595.453857421875,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,20406.967127876454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,8856.437133789062,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,10031.095496840724,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,34373.747497558594,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,38454.21814636044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-01-18,7230.143524169922,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,11359.883196050056,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,77.39465091469961,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,292.56507060100705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,9.24770810827377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,441.5123115749785,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,470.3473531390905,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,392236.41079711914,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,331020.9355133362,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,110825.76123046875,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,113711.64673024473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,58900.41635131836,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,53571.79043931454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-01-25,24314.572814941406,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,17518.64845738085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-25,9316.03726196289,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,12034.807380059545,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,203851.33587646484,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,193390.5172439089,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,12222.889556884766,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,6135.616608847189,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,37610.47058105469,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,23934.040893458143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,4687.293212890625,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,9826.843069806178,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,2637.7472229003906,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,8338.717559927174,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,164151.77548217773,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,147505.24502810615,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,9779.286071777344,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,7147.209045047371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-01-25,7787.106536865234,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,12609.728644013752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-01-25,9700.94448852539,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,13864.709777952865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,16732.898376464844,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,23066.58370618632,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,6032.390289306641,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-01-25,0.0,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-01-25,2816.891387939453,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,6923.48156795572,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,15038.63198852539,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,25586.79880236785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-01-25,815.2048034667969,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,5939.699041408533,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,4632.310241699219,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,11726.044417777995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-25,0.0,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,4951.442362862063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,0.0,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,4994.899162449196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-01-25,0.0,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,163.11874077319072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-01-25,0.0,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-01-25,0.0,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,418.4833226765908,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,0.0,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,166.5949388985531,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,453984.93142700195,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,415776.2905317377,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,89991.50573730469,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,81061.72789381791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,58726.57678222656,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,50294.11968129687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-02-01,26830.88409423828,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,18065.478572971107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-02-01,2982.4347534179688,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,110863.20483398438,2.179716114906788,0.7744709505109533,60.660242753444514,0.062842672096061,1.0,0.2761528170158003,576.4606588700506,58161.75671480324,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
