,발주번호,납품일자,납품수량,납품차량번호,입고수량,불량수량,불량내용,반품일자,반품수량,반품내용
0,B20210215-0001,2021-02-21,877035.0,,,,,,,
1,B20210215-0002,2021-02-21,2787.6,,,,,,,
2,B20210215-0003,2021-02-21,5265.0,,,,,,,
3,B20210215-0004,2021-02-21,7445.0,,,,,,,
4,B20210215-0005,2021-02-21,1100.0,,,,,,,
5,B20210215-0006,2021-02-21,35288.299999999996,,,,,,,
6,B20210215-0007,2021-02-21,625.0,,,,,,,
7,B20210215-0008,2021-02-21,1100.0,,,,,,,
8,B20210215-0009,2021-02-21,1100.0,,,,,,,
9,B20210215-0010,2021-02-21,4568.0,,,,,,,
10,B20210215-0011,2021-02-21,6205.0,,,,,,,
11,B20210215-0012,2021-02-21,1100.0,,,,,,,
12,B20210215-0013,2021-02-21,42747.5,,,,,,,
13,B20210215-0014,2021-02-21,188795.7,,,,,,,
14,B20210215-0015,2021-02-21,1100.0,,,,,,,
15,B20210215-0016,2021-02-21,134680.0,,,,,,,
16,B20210215-0017,2021-02-21,71393.9,,,,,,,
17,B20210215-0018,2021-02-21,27285.2,,,,,,,
18,B20210215-0019,2021-02-21,11839.0,,,,,,,
19,B20210215-0020,2021-02-21,6547.0,,,,,,,
20,B20210215-0021,2021-02-21,810.0,,,,,,,
21,B20210215-0022,2021-02-21,8702.0,,,,,,,
22,B20210215-0023,2021-02-21,1100.0,,,,,,,
23,B20210215-0024,2021-02-21,1100.0,,,,,,,
24,B20210215-0025,2021-02-21,1100.0,,,,,,,
25,B20210215-0026,2021-02-21,34478.0,,,,,,,
26,B20210215-0027,2021-02-21,106516.5,,,,,,,
27,B20210215-0028,2021-02-21,175.0,,,,,,,
28,B20210215-0029,2021-02-21,414.79999999999995,,,,,,,
29,B20210215-0030,2021-02-21,1100.0,,,,,,,
30,B20210215-0031,2021-02-21,1131.4,,,,,,,
31,B20210222-0032,2021-02-28,826682.9999999999,,,,,,,
32,B20210222-0033,2021-02-28,2471.1,,,,,,,
33,B20210222-0034,2021-02-28,7092.5,,,,,,,
34,B20210222-0035,2021-02-28,9370.0,,,,,,,
35,B20210222-0036,2021-02-28,1100.0,,,,,,,
36,B20210222-0037,2021-02-28,32962.8,,,,,,,
37,B20210222-0038,2021-02-28,775.0,,,,,,,
38,B20210222-0039,2021-02-28,1000.0,,,,,,,
39,B20210222-0040,2021-02-28,1100.0,,,,,,,
40,B20210222-0041,2021-02-28,4020.0,,,,,,,
41,B20210222-0042,2021-02-28,11429.5,,,,,,,
42,B20210222-0043,2021-02-28,1100.0,,,,,,,
43,B20210222-0044,2021-02-28,1623.4,,,,,,,
44,B20210222-0045,2021-02-28,144244.90000000002,,,,,,,
45,B20210222-0046,2021-02-28,1100.0,,,,,,,
46,B20210222-0047,2021-02-28,112484.6,,,,,,,
47,B20210222-0048,2021-02-28,73226.4,,,,,,,
48,B20210222-0049,2021-02-28,34922.9,,,,,,,
49,B20210222-0050,2021-02-28,10528.5,,,,,,,
50,B20210222-0051,2021-02-28,7183.8,,,,,,,
51,B20210222-0052,2021-02-28,810.0,,,,,,,
52,B20210222-0053,2021-02-28,13266.5,,,,,,,
53,B20210222-0054,2021-02-28,15.0,,,,,,,
54,B20210222-0055,2021-02-28,15.0,,,,,,,
55,B20210222-0056,2021-02-28,220.0,,,,,,,
56,B20210222-0057,2021-02-28,33063.5,,,,,,,
57,B20210222-0058,2021-02-28,85173.0,,,,,,,
58,B20210222-0059,2021-02-28,77.0,,,,,,,
59,B20210222-0060,2021-02-28,435.2,,,,,,,
60,B20210222-0061,2021-02-28,1100.0,,,,,,,
61,B20210222-0062,2021-02-28,1012.4,,,,,,,
62,B20210302-0001,2021-03-08,959718.5999999999,,,,,,,
63,B20210302-0002,2021-03-08,2820.5,,,,,,,
64,B20210302-0003,2021-03-08,28948.600000000002,,,,,,,
65,B20210302-0004,2021-03-08,13580.0,,,,,,,
66,B20210302-0005,2021-03-08,1100.0,,,,,,,
67,B20210302-0006,2021-03-08,41140.9,,,,,,,
68,B20210302-0007,2021-03-08,975.0,,,,,,,
69,B20210302-0008,2021-03-08,1100.0,,,,,,,
70,B20210302-0009,2021-03-08,780.0,,,,,,,
71,B20210302-0010,2021-03-08,3582.0,,,,,,,
72,B20210302-0011,2021-03-08,21235.0,,,,,,,
73,B20210302-0012,2021-03-08,1100.0,,,,,,,
74,B20210302-0013,2021-03-08,4477.0,,,,,,,
75,B20210302-0014,2021-03-08,178890.8,,,,,,,
76,B20210302-0015,2021-03-08,1100.0,,,,,,,
77,B20210302-0016,2021-03-08,138898.4,,,,,,,
78,B20210302-0017,2021-03-08,76689.29999999999,,,,,,,
79,B20210302-0018,2021-03-08,31947.8,,,,,,,
80,B20210302-0019,2021-03-08,5106.5,,,,,,,
81,B20210302-0020,2021-03-08,5958.0,,,,,,,
82,B20210302-0021,2021-03-08,810.0,,,,,,,
83,B20210302-0022,2021-03-08,14064.0,,,,,,,
84,B20210302-0023,2021-03-08,27.0,,,,,,,
85,B20210302-0024,2021-03-08,27.0,,,,,,,
86,B20210302-0025,2021-03-08,396.0,,,,,,,
87,B20210302-0026,2021-03-08,40983.0,,,,,,,
88,B20210302-0027,2021-03-08,110107.0,,,,,,,
89,B20210302-0028,2021-03-08,152.7,,,,,,,
90,B20210302-0029,2021-03-08,470.1,,,,,,,
91,B20210302-0030,2021-03-08,1100.0,,,,,,,
92,B20210302-0031,2021-03-08,1214.8000000000002,,,,,,,
93,B20210308-0001,2021-03-14,885301.94,,,,,,,
94,B20210308-0002,2021-03-14,3889.5,,,,,,,
95,B20210308-0003,2021-03-14,5080.0,,,,,,,
96,B20210308-0004,2021-03-14,15260.0,,,,,,,
97,B20210308-0005,2021-03-14,1100.0,,,,,,,
98,B20210308-0006,2021-03-14,34161.600000000006,,,,,,,
99,B20210308-0007,2021-03-14,725.0,,,,,,,
100,B20210308-0008,2021-03-14,1100.0,,,,,,,
101,B20210308-0009,2021-03-14,1100.0,,,,,,,
102,B20210308-0010,2021-03-14,1437.2,,,,,,,
103,B20210308-0011,2021-03-14,7321.0,,,,,,,
104,B20210308-0012,2021-03-14,1200.0,,,,,,,
105,B20210308-0013,2021-03-14,2125.5,,,,,,,
106,B20210308-0014,2021-03-14,137493.5,,,,,,,
107,B20210308-0015,2021-03-14,981.0,,,,,,,
108,B20210308-0016,2021-03-14,122126.70000000001,,,,,,,
109,B20210308-0017,2021-03-14,69251.0,,,,,,,
110,B20210308-0018,2021-03-14,33796.4,,,,,,,
111,B20210308-0019,2021-03-14,9520.0,,,,,,,
112,B20210308-0020,2021-03-14,6328.0,,,,,,,
113,B20210308-0021,2021-03-14,810.0,,,,,,,
114,B20210308-0022,2021-03-14,13004.5,,,,,,,
115,B20210308-0023,2021-03-14,1100.0,,,,,,,
116,B20210308-0024,2021-03-14,1100.0,,,,,,,
117,B20210308-0025,2021-03-14,1100.0,,,,,,,
118,B20210308-0026,2021-03-14,34626.0,,,,,,,
119,B20210308-0027,2021-03-14,97451.0,,,,,,,
120,B20210308-0028,2021-03-14,143.0,,,,,,,
121,B20210308-0029,2021-03-14,423.05999999999995,,,,,,,
122,B20210308-0030,2021-03-14,1100.0,,,,,,,
123,B20210308-0031,2021-03-14,1154.1,,,,,,,
124,B20210315-0001,2021-03-21,1192503.1500000001,,,,,,,
125,B20210315-0002,2021-03-21,2998.23,,,,,,,
126,B20210315-0003,2021-03-21,6170.0,,,,,,,
127,B20210315-0004,2021-03-21,20669.0,,,,,,,
128,B20210315-0005,2021-03-21,80.1,,,,,,,
129,B20210315-0006,2021-03-21,48000.079999999994,,,,,,,
130,B20210315-0007,2021-03-21,350.0,,,,,,,
131,B20210315-0008,2021-03-21,1100.0,,,,,,,
132,B20210315-0009,2021-03-21,725.0,,,,,,,
133,B20210315-0010,2021-03-21,2911.0,,,,,,,
134,B20210315-0011,2021-03-21,2695.0,,,,,,,
135,B20210315-0012,2021-03-21,1100.0,,,,,,,
136,B20210315-0013,2021-03-21,3072.8,,,,,,,
137,B20210315-0014,2021-03-21,171315.3,,,,,,,
138,B20210315-0015,2021-03-21,493.0,,,,,,,
139,B20210315-0016,2021-03-21,184895.99999999997,,,,,,,
140,B20210315-0017,2021-03-21,87892.1,,,,,,,
141,B20210315-0018,2021-03-21,65328.9,,,,,,,
142,B20210315-0019,2021-03-21,13700.5,,,,,,,
143,B20210315-0020,2021-03-21,10463.0,,,,,,,
144,B20210315-0021,2021-03-21,810.0,,,,,,,
145,B20210315-0022,2021-03-21,13809.0,,,,,,,
146,B20210315-0023,2021-03-21,24.0,,,,,,,
147,B20210315-0024,2021-03-21,24.0,,,,,,,
148,B20210315-0025,2021-03-21,352.0,,,,,,,
149,B20210315-0026,2021-03-21,47602.45,,,,,,,
150,B20210315-0027,2021-03-21,130900.75,,,,,,,
151,B20210315-0028,2021-03-21,215.2,,,,,,,
152,B20210315-0029,2021-03-21,546.4999999999999,,,,,,,
153,B20210315-0030,2021-03-21,1100.0,,,,,,,
154,B20210315-0031,2021-03-21,1542.05,,,,,,,
155,B20210322-0001,2021-03-28,954816.0,,,,,,,
156,B20210322-0002,2021-03-28,2350.0,,,,,,,
157,B20210322-0003,2021-03-28,8116.0,,,,,,,
158,B20210322-0004,2021-03-28,19305.0,,,,,,,
159,B20210322-0005,2021-03-28,553.0,,,,,,,
160,B20210322-0006,2021-03-28,39514.3,,,,,,,
161,B20210322-0007,2021-03-28,1075.0,,,,,,,
162,B20210322-0008,2021-03-28,1100.0,,,,,,,
163,B20210322-0009,2021-03-28,1100.0,,,,,,,
164,B20210322-0010,2021-03-28,5008.0,,,,,,,
165,B20210322-0011,2021-03-28,5595.0,,,,,,,
166,B20210322-0012,2021-03-28,21448.4,,,,,,,
167,B20210322-0013,2021-03-28,1945.5,,,,,,,
168,B20210322-0014,2021-03-28,210515.7,,,,,,,
169,B20210322-0015,2021-03-28,1100.0,,,,,,,
170,B20210322-0016,2021-03-28,142448.2,,,,,,,
171,B20210322-0017,2021-03-28,83231.0,,,,,,,
172,B20210322-0018,2021-03-28,21489.5,,,,,,,
173,B20210322-0019,2021-03-28,10384.5,,,,,,,
174,B20210322-0020,2021-03-28,8736.0,,,,,,,
175,B20210322-0021,2021-03-28,450.0,,,,,,,
176,B20210322-0022,2021-03-28,10542.5,,,,,,,
177,B20210322-0023,2021-03-28,15.0,,,,,,,
178,B20210322-0024,2021-03-28,15.0,,,,,,,
179,B20210322-0025,2021-03-28,220.0,,,,,,,
180,B20210322-0026,2021-03-28,37020.8,,,,,,,
181,B20210322-0027,2021-03-28,109201.2,,,,,,,
182,B20210322-0028,2021-03-28,88.0,,,,,,,
183,B20210322-0029,2021-03-28,434.09999999999997,,,,,,,
184,B20210322-0030,2021-03-28,1100.0,,,,,,,
185,B20210322-0031,2021-03-28,1331.9,,,,,,,
186,B20210329-0001,2021-04-04,179351.7,,,,,,,
187,B20210329-0002,2021-04-04,210.5,,,,,,,
188,B20210329-0003,2021-04-04,1100.0,,,,,,,
189,B20210329-0004,2021-04-04,3425.0,,,,,,,
190,B20210329-0005,2021-04-04,271.75,,,,,,,
191,B20210329-0006,2021-04-04,5879.5,,,,,,,
192,B20210329-0007,2021-04-04,1100.0,,,,,,,
193,B20210329-0008,2021-04-04,1100.0,,,,,,,
194,B20210329-0009,2021-04-04,1100.0,,,,,,,
195,B20210329-0010,2021-04-04,1217.0,,,,,,,
196,B20210329-0011,2021-04-04,1908.0,,,,,,,
197,B20210329-0012,2021-04-04,2352.0,,,,,,,
198,B20210329-0013,2021-04-04,1305.0,,,,,,,
199,B20210329-0014,2021-04-04,12522.0,,,,,,,
200,B20210329-0015,2021-04-04,1100.0,,,,,,,
201,B20210329-0016,2021-04-04,22028.6,,,,,,,
202,B20210329-0017,2021-04-04,7866.6,,,,,,,
203,B20210329-0018,2021-04-04,1870.0,,,,,,,
204,B20210329-0019,2021-04-04,3260.0,,,,,,,
205,B20210329-0020,2021-04-04,3258.4,,,,,,,
206,B20210329-0021,2021-04-04,1100.0,,,,,,,
207,B20210329-0022,2021-04-04,3660.0,,,,,,,
208,B20210329-0023,2021-04-04,1100.0,,,,,,,
209,B20210329-0024,2021-04-04,1100.0,,,,,,,
210,B20210329-0025,2021-04-04,1100.0,,,,,,,
211,B20210329-0026,2021-04-04,8178.0,,,,,,,
212,B20210329-0027,2021-04-04,19411.0,,,,,,,
213,B20210329-0028,2021-04-04,83.0,,,,,,,
214,B20210329-0029,2021-04-04,100.05,,,,,,,
215,B20210329-0030,2021-04-04,62.5,,,,,,,
216,B20210329-0031,2021-04-04,234.4,,,,,,,
217,B20210405-0001,2021-04-11,756532.0300000001,,,,,,,
218,B20210405-0002,2021-04-11,2895.0699999999997,,,,,,,
219,B20210405-0003,2021-04-11,9099.8,,,,,,,
220,B20210405-0004,2021-04-11,20429.9,,,,,,,
221,B20210405-0005,2021-04-11,1191.5,,,,,,,
222,B20210405-0006,2021-04-11,29973.370000000003,,,,,,,
223,B20210405-0007,2021-04-11,375.0,,,,,,,
224,B20210405-0008,2021-04-11,1100.0,,,,,,,
225,B20210405-0009,2021-04-11,300.0,,,,,,,
226,B20210405-0010,2021-04-11,1320.0,,,,,,,
227,B20210405-0011,2021-04-11,6930.0,,,,,,,
228,B20210405-0012,2021-04-11,36095.0,,,,,,,
229,B20210405-0013,2021-04-11,5024.5,,,,,,,
230,B20210405-0014,2021-04-11,208386.75,,,,,,,
231,B20210405-0015,2021-04-11,1100.0,,,,,,,
232,B20210405-0016,2021-04-11,102103.79999999999,,,,,,,
233,B20210405-0017,2021-04-11,64500.3,,,,,,,
234,B20210405-0018,2021-04-11,1100.0,,,,,,,
235,B20210405-0019,2021-04-11,6302.5,,,,,,,
236,B20210405-0020,2021-04-11,6613.79,,,,,,,
237,B20210405-0021,2021-04-11,1100.0,,,,,,,
238,B20210405-0022,2021-04-11,8258.9,,,,,,,
239,B20210405-0023,2021-04-11,1100.0,,,,,,,
240,B20210405-0024,2021-04-11,1100.0,,,,,,,
241,B20210405-0025,2021-04-11,1100.0,,,,,,,
242,B20210405-0026,2021-04-11,27410.0,,,,,,,
243,B20210405-0027,2021-04-11,92268.05,,,,,,,
244,B20210405-0028,2021-04-11,199.89999999999998,,,,,,,
245,B20210405-0029,2021-04-11,362.0,,,,,,,
246,B20210405-0030,2021-04-11,1100.0,,,,,,,
247,B20210405-0031,2021-04-11,1028.04,,,,,,,
248,B20210412-0001,2021-04-18,1164541.8499999999,,,,,,,
249,B20210412-0002,2021-04-18,3645.37,,,,,,,
250,B20210412-0003,2021-04-18,8000.0,,,,,,,
251,B20210412-0004,2021-04-18,31370.2,,,,,,,
252,B20210412-0005,2021-04-18,2098.0699999999997,,,,,,,
253,B20210412-0006,2021-04-18,52494.920000000006,,,,,,,
254,B20210412-0007,2021-04-18,900.0,,,,,,,
255,B20210412-0008,2021-04-18,1100.0,,,,,,,
256,B20210412-0009,2021-04-18,1100.0,,,,,,,
257,B20210412-0010,2021-04-18,3408.0,,,,,,,
258,B20210412-0011,2021-04-18,1936.0,,,,,,,
259,B20210412-0012,2021-04-18,43556.42,,,,,,,
260,B20210412-0013,2021-04-18,9355.0,,,,,,,
261,B20210412-0014,2021-04-18,214243.40000000002,,,,,,,
262,B20210412-0015,2021-04-18,51184.53000000001,,,,,,,
263,B20210412-0016,2021-04-18,179147.6,,,,,,,
264,B20210412-0017,2021-04-18,40301.4,,,,,,,
265,B20210412-0018,2021-04-18,640.0,,,,,,,
266,B20210412-0019,2021-04-18,14188.7,,,,,,,
267,B20210412-0020,2021-04-18,10388.8,,,,,,,
268,B20210412-0021,2021-04-18,1100.0,,,,,,,
269,B20210412-0022,2021-04-18,14335.5,,,,,,,
270,B20210412-0023,2021-04-18,33.0,,,,,,,
271,B20210412-0024,2021-04-18,33.0,,,,,,,
272,B20210412-0025,2021-04-18,484.0,,,,,,,
273,B20210412-0026,2021-04-18,49297.2,,,,,,,
274,B20210412-0027,2021-04-18,129104.2,,,,,,,
275,B20210412-0028,2021-04-18,60.7,,,,,,,
276,B20210412-0029,2021-04-18,555.1000000000001,,,,,,,
277,B20210412-0030,2021-04-18,1100.0,,,,,,,
278,B20210412-0031,2021-04-18,1467.14,,,,,,,
279,B20210419-0001,2021-04-25,659529.2000000001,,,,,,,
280,B20210419-0002,2021-04-25,993.0,,,,,,,
281,B20210419-0003,2021-04-25,6005.0,,,,,,,
282,B20210419-0004,2021-04-25,22740.0,,,,,,,
283,B20210419-0005,2021-04-25,949.5,,,,,,,
284,B20210419-0006,2021-04-25,21101.3,,,,,,,
285,B20210419-0007,2021-04-25,350.0,,,,,,,
286,B20210419-0008,2021-04-25,1100.0,,,,,,,
287,B20210419-0009,2021-04-25,420.0,,,,,,,
288,B20210419-0010,2021-04-25,5008.0,,,,,,,
289,B20210419-0011,2021-04-25,3420.0,,,,,,,
290,B20210419-0012,2021-04-25,29933.0,,,,,,,
291,B20210419-0013,2021-04-25,5195.0,,,,,,,
292,B20210419-0014,2021-04-25,154774.30000000002,,,,,,,
293,B20210419-0015,2021-04-25,53512.00000000001,,,,,,,
294,B20210419-0016,2021-04-25,96318.5,,,,,,,
295,B20210419-0017,2021-04-25,800.0,,,,,,,
296,B20210419-0018,2021-04-25,1100.0,,,,,,,
297,B20210419-0019,2021-04-25,7733.0,,,,,,,
298,B20210419-0020,2021-04-25,10239.0,,,,,,,
299,B20210419-0021,2021-04-25,1100.0,,,,,,,
300,B20210419-0022,2021-04-25,8279.0,,,,,,,
301,B20210419-0023,2021-04-25,1100.0,,,,,,,
302,B20210419-0024,2021-04-25,1100.0,,,,,,,
303,B20210419-0025,2021-04-25,1100.0,,,,,,,
304,B20210419-0026,2021-04-25,25169.0,,,,,,,
305,B20210419-0027,2021-04-25,51463.0,,,,,,,
306,B20210419-0028,2021-04-25,1100.0,,,,,,,
307,B20210419-0029,2021-04-25,359.79999999999995,,,,,,,
308,B20210419-0030,2021-04-25,1100.0,,,,,,,
309,B20210419-0031,2021-04-25,708.4,,,,,,,
